,time,VNINDEX,MA50,z_score,sign,cross,asset_allocation,return,return_shifted
49,2022-09-13,1248.4,1230.4784,0.08066554012314317,1,True,45475910187.617516,0.0,0.04486922692742512
50,2022-09-14,1240.77,1231.3832,-0.05415451774313,1,False,47516379121.55693,0.04486922692742512,-0.018126307548486653
51,2022-09-15,1245.66,1232.6706,0.002753991005645664,1,False,46655082620.0091,-0.018126307548486653,0.06824796871284922
52,2022-09-16,1234.03,1234.359,-0.20763025451693948,-1,True,49839197238.95488,0.06824796871284922,0.14092972653521718
53,2022-09-19,1205.43,1235.138,-0.6717159366715495,-1,False,56863021676.57555,0.14092972653521718,-0.05275545461196063
54,2022-09-20,1218.93,1236.0904,-0.47350764144696234,-1,False,53863187117.41803,-0.05275545461196063,0.042100871294336484
55,2022-09-21,1210.55,1237.1956,-0.6233407028980994,-1,False,56130874225.751205,0.042100871294336484,-0.014278765596370757
56,2022-09-22,1214.7,1237.9932,-0.5703844810779143,-1,False,55329394629.96233,-0.014278765596370757,0.05188268753635028
57,2022-09-23,1203.28,1238.5803999999998,-0.7600563420250825,-1,False,58200032323.12409,0.05188268753635028,0.11819731593800564
58,2022-09-26,1174.35,1238.424,-1.2145788167193892,-1,False,65079119931.22253,0.11819731593800564,0.027757185061859646
59,2022-09-27,1166.54,1238.1698,-1.3339340908003228,-1,False,66885533106.81643,0.027757185061859646,0.07957567456277914
60,2022-09-28,1143.62,1237.5124,-1.6856054855903213,-1,False,72207994522.28244,0.07957567456277914,0.054646408126372004
61,2022-09-29,1126.07,1236.4672,-1.946323732189096,-1,False,76153902060.93391,0.054646408126372004,-0.02285660108911547
62,2022-09-30,1132.11,1235.2266,-1.8313156577993996,-1,False,74413282700.14758,-0.02285660108911547,0.13953077430207927
63,2022-10-03,1086.44,1232.986,-2.517348631166957,-1,False,84796225653.65869,0.13953077430207927,0.016825183981396208
64,2022-10-04,1078.14,1230.6536,-2.611615887262326,-1,False,86222937751.20949,0.016825183981396208,-0.07709631105153936
65,2022-10-05,1104.26,1228.9688,-2.172397071946199,-1,False,79575467322.56473,-0.07709631105153936,0.08270806807004072
66,2022-10-06,1074.52,1226.7578,-2.6072592096647838,-1,False,86157000490.58472,0.08270806807004072,0.09852919630251145
67,2022-10-07,1035.91,1223.6552,-3.1681522268041187,-1,False,94645980504.75711,0.09852919630251145,-0.02496401703740836
68,2022-10-10,1042.48,1220.3424,-3.0120384727758154,-1,False,92283236634.91414,-0.02496401703740836,0.08362042388710855
69,2022-10-11,1006.2,1216.3398,-3.5219087609809017,-1,False,100000000000.0,0.08362042388710855,-0.07779736078822475
70,2022-10-12,1034.81,1212.409,-3.007877671908548,-1,False,92220263921.17752,-0.07779736078822475,-0.05182980259016856
71,2022-10-13,1050.99,1208.5964,-2.6920643559670796,-1,False,87440505847.32965,-0.05182980259016856,-0.03996850247304784
72,2022-10-14,1061.85,1204.8382,-2.4611478060888503,-1,False,83945639773.1261,-0.03996850247304784,0.01771051204585916
73,2022-10-17,1051.58,1200.7867999999999,-2.5593799863212148,-1,False,85432360037.5254,0.01771051204585916,-0.04438755549983542
74,2022-10-18,1063.66,1197.0052,-2.3088220552798737,-1,False,81640226414.87782,-0.04438755549983542,-0.0010062029660143912
75,2022-10-19,1060.07,1193.0716,-2.303394374270027,-1,False,81558079776.91309,-0.0010062029660143912,-0.007000095562443964
