time,VNINDEX,sign,cross,asset_allocation
2020-07-14,868.11,1,False,0.4239452273617169
2020-07-15,869.91,1,False,0.4238291469301061
2020-07-16,876.83,1,False,0.412320291898972
2020-07-17,872.02,1,False,0.42526196061581534
2020-07-20,861.4,1,False,0.44969385951842256
2020-07-21,861.69,1,False,0.4502079918778352
2020-07-22,855.08,-1,True,0.46542708936114163
2020-07-23,856.75,-1,False,0.4628650902828554
2020-07-24,829.16,-1,False,0.5227084510019302
2020-07-27,785.17,-1,False,0.6157313240445894
2020-07-28,813.36,-1,False,0.5532705228470547
2020-07-29,790.84,-1,False,0.5993531547889244
2020-07-30,801.13,-1,False,0.5744001933518834
2020-07-31,798.39,-1,False,0.5779800618864633
2020-08-03,814.65,-1,False,0.5408434196255629
2020-08-04,827.57,-1,False,0.5110627250141204
2020-08-05,837.8,-1,False,0.48805541021438514
2020-08-06,840.04,-1,False,0.48227954246984517
2020-08-07,841.46,-1,False,0.4782076315087337
2020-08-10,843.2,-1,False,0.47290301566566073
2020-08-11,843.08,-1,False,0.47178899003094377
2020-08-12,846.92,-1,False,0.46198928941450446
2020-08-13,855.05,1,True,0.4431327163167509
2020-08-14,850.74,-1,True,0.45093002948789507
2020-08-17,850.15,1,True,0.45005206293984945
2020-08-18,846.43,-1,True,0.4556538100369726
2020-08-19,851.21,1,True,0.44315913760902015
2020-08-20,848.21,1,False,0.4488262882329096
2020-08-21,854.78,1,False,0.43421921183119494
2020-08-24,868.68,1,False,0.4056846493158186
2020-08-25,874.12,1,False,0.3946825633331369
2020-08-26,873.47,1,False,0.3969145128260212
2020-08-27,874.71,1,False,0.39507108627028376
2020-08-28,878.98,1,False,0.386274961624156
2020-08-31,881.65,1,False,0.38094175880911874
2020-09-01,891.73,1,False,0.3601308763552822
2020-09-03,903.97,1,False,0.33554001656311827
2020-09-04,901.54,1,False,0.34283619145301514
2020-09-07,888.25,1,False,0.373189058639676
2020-09-08,890.14,1,False,0.37172852425388003
2020-09-09,889.32,1,False,0.37628554746650134
2020-09-10,888.82,1,False,0.3793317925244203
2020-09-11,888.97,1,False,0.38102492090937734
2020-09-14,894.57,1,False,0.37093112099046044
2020-09-15,896.26,1,False,0.36879142945255106
2020-09-16,897.47,1,False,0.36764578489429767
2020-09-17,894.04,1,False,0.3763535498089007
2020-09-18,900.95,1,False,0.36244945303593656
2020-09-21,907.94,1,False,0.3489022602765832
2020-09-22,906.19,1,False,0.35431516010436837
2020-09-23,912.5,1,False,0.3425724116662566
2020-09-24,908.58,1,False,0.3527368127432058
2020-09-25,908.27,1,False,0.3547699528401588
2020-09-28,912.5,1,False,0.347362462013978
2020-09-29,903.98,1,False,0.367658345836524
2020-09-30,905.21,1,False,0.36687956741847494
2020-10-01,914.09,1,False,0.35020426690876105
2020-10-02,909.91,1,False,0.3615593586816038
2020-10-05,914.68,1,False,0.35493324508910484
2020-10-06,915.67,1,False,0.35844164619377483
2020-10-07,919.72,1,False,0.35427747727768844
2020-10-08,918.84,1,False,0.3617274154258767
2020-10-09,924.0,1,False,0.35587444948422176
2020-10-12,925.83,1,False,0.3574311400484417
2020-10-13,929.86,1,False,0.3536936100321212
2020-10-14,940.18,1,False,0.3362213393949264
2020-10-15,942.76,1,False,0.3351800805979357
2020-10-16,943.3,1,False,0.33848317526759164
2020-10-19,943.69,1,False,0.34206650888968193
2020-10-20,944.42,1,False,0.34486976468590735
2020-10-21,939.03,1,False,0.36069871757111227
2020-10-22,949.9,1,False,0.34161821319297414
2020-10-23,961.26,1,False,0.3216164286729062
2020-10-26,950.8,1,False,0.34860339647877814
2020-10-27,946.47,1,False,0.3621527549178257
2020-10-28,921.05,1,False,0.42043639312110836
2020-10-29,919.08,1,False,0.4276424757357249
2020-10-30,925.47,1,False,0.4171501907530675
2020-11-02,933.68,1,False,0.40278740302086347
2020-11-03,935.41,1,False,0.4019310932697605
2020-11-04,939.76,1,False,0.3953534909024129
2020-11-05,937.75,1,False,0.4024907049027525
2020-11-06,938.29,1,False,0.40407511616705916
2020-11-09,951.99,1,False,0.37756762984549175
2020-11-10,951.9,1,False,0.3808053209883815
2020-11-11,952.22,1,False,0.3827323427803171
2020-11-12,959.28,1,False,0.3698383190167469
2020-11-13,966.29,1,False,0.35746145956416153
2020-11-16,950.79,1,False,0.3937383269864484
2020-11-17,968.9,1,False,0.3579292463781175
2020-11-18,973.53,1,False,0.3515495871348231
2020-11-19,983.26,1,False,0.33456805951634305
2020-11-20,990.0,1,False,0.32434735076734345
2020-11-23,994.19,1,False,0.31958805307128024
2020-11-24,995.76,1,False,0.3204976385428613
2020-11-25,999.94,1,False,0.3158834413863121
2020-11-26,1005.97,1,False,0.307672483393568
2020-11-27,1010.22,1,False,0.30320122109683867
2020-11-30,1003.08,1,False,0.32278502943591814
2020-12-01,1008.87,1,False,0.3146931838263577
2020-12-02,1014.32,1,False,0.30730041962209764
2020-12-03,1019.8,1,False,0.30024983280952766
2020-12-04,1021.49,1,False,0.3014937992258997
2020-12-07,1029.98,1,False,0.28819565963138394
2020-12-08,1029.26,1,False,0.2951812760531267
2020-12-09,1039.13,1,False,0.2796065739640252
2020-12-10,1030.91,1,False,0.3024683550883076
2020-12-11,1045.96,1,False,0.2757676901380143
2020-12-14,1064.09,1,False,0.24297540134376083
2020-12-15,1055.27,1,False,0.26812327395328384
2020-12-16,1066.99,1,False,0.24912030090819937
2020-12-17,1051.77,1,False,0.2878396218896506
2020-12-18,1067.46,1,False,0.2600738756657297
2020-12-21,1081.08,1,False,0.2373017536807892
2020-12-22,1083.45,1,False,0.2388216276902072
