date,vn_retail_buy_vol,vn_retail_buy_value,vn_retail_sell_vol,vn_retail_sell_value,fr_retail_buy_vol,fr_retail_buy_value,fr_retail_sell_vol,fr_retail_sell_value,vn_institute_buy_vol,vn_institute_buy_value,vn_institute_sell_vol,vn_institute_sell_value,fr_institute_buy_vol,fr_institute_buy_value,fr_institute_sell_vol,fr_institute_sell_value
09/22/2025,570338358,16673931903,557750497,15722210996,49426598,1491102637,53590599,2124845622,539721842,15803560192,526319786,15028771156,56150339,1879651683,77976255,2972418641
09/19/2025,436576415,12715437824,391925756,11154963141,46926428,1821630626,49518498,2210511744,376735619,11292867646,342379841,10072427062,68842028,3365661245,145256395,5757695394
09/18/2025,430200563,12159291980,418710845,12135270692,21302179,753500131.1,33483395,1263809314,426882470,13408402918,400115151,11919964973,37420988,1505460135,63496809,2507610184
09/17/2025,542148466,15679974029,530329899,15884023714,36903367,1180392841,27686403,1091153349,450373782,13741135787,460120324,13399415756,42815868,1904543428,54104857,2131453266
09/16/2025,640313087,19042735329,572079314,16884964152,46323467,1581437391,46952247,1532047838,572603372,17691770173,639495759,19884333287,73426306,3020056917,74138912,3034654533
09/15/2025,635058530,18690458093,614008641,17541681924,26536246,1022159890,29394529,1129182405,522975468,15719011764,522120939,15548601403,59990406,2253531373,79036541,3465695388
9/12/2025,578053557,16842155992,539592603,15751833640,34902817,1250748724,50842651,1612387823,461460476,14282781849,457874331,14213696725,49241073,1865103586,75348338,2662871963
9/11/2025,597540038,16825803940,598850231,17135230581,44149778,1502269611,57370550,1484604836,579579392,16491693312,526061911,15103727442,57489640,1975765114,96476156,3071969118
9/10/2025,536106090,15043548962,488060229,13351506978,19443351,670078176.6,51510511,1629213397,425937877,12978698175,377744849,11737638247,30008893,1195670925,94180622,3169637617
9/09/2025,551233645,15022138688,528564810,14263263086,30450872,1025926043,39417339,1263889320,489281495,13371166357,475711761,13252288522,62047379,2313552923,89319481,2953343083
9/08/2025,887328499,24058030493,983097574,26797069010,61499634,1913844933,49215220,1647968678,847059948,23468722846,779059962,21695893889,111428972,3797868923,95944297,3097535618
9/05/2025,813523747,23279630407,824597450,23083187548,37804857,1106744513,43832042,1778474831,784492452,22774704522,755285952,21587855938,65705681,1990555329,77811293,2702116454
9/04/2025,654099363,18538628356,631105933,17835610117,63130572,1627091420,44879747,1476594047,593617892,17331285445,616608857,17243823341,70191754,2505076303,88445044,3446054019
9/03/2025,652192308,18356019101,607905695,16736897769,33813943,980941166.8,29871205,1165612970,559918295,16050834171,543174736,14792410437,65223542,2102597359,130196452,4795470622
08/29/2025,780845590,22694028882,689322363,19587056420,25020846,965148683.7,49723768,1751961379,662108847,19353951349,648720333,18836988469,58555307,2082599758,138764126,4919722405
08/28/2025,621143791,17012302189,505301477,14433805354,26700671,961900615.3,71868189,2006309059,498069589,14704686763,515278238,14716858438,46837126,1801617388,100303273,3323534104
08/27/2025,780582568,23129811413,664197332,19584487782,34336013,1321467201,74487662,2471638132,688783911,20752813646,670228801,20231216249,61860138,2261205213,156648835,5177955310
08/26/2025,681419761,18672889496,748479887,19862217588,70789226,1587736680,30654532,1070732844,606180079,16636074902,597025916,16321811573,85139402,2572683802,67368133,2214622875
08/25/2025,677260882,19057341613,706412936,19352208471,52401535,1406482200,73002407,2071030825,705144659,19224781932,630696475,17174159385,92083303,2647969238,116778561,3739176302
08/22/2025,1074344202,28964815530,1096536596,29554941522,59872149,1783430766,51420945,1616462990,1064471512,28820170607,1002586034,26852235993,100436701,2893563973,148580989,4438340371
08/21/2025,863252239,25659417099,817285326,24190057447,40750869,1417989260,39546501,1417018763,752926334,22436989044,731276115,21484159700,63448099,2156199640,132269599,4579359133
08/20/2025,1123868556,31424755642,1173186475,32636925131,77176914,2330535630,70151383,2307597876,1105550728,30788814020,1058384553,29140092226,107351408,3611609542,112225195,4071099600
08/19/2025,974738185,27069558056,916955132,25697899721,53016244,1527112644,50298997,1907733271,846487247,23974977694,879115623,23842459136,63097113,1982441686,90969037,3105997952
08/18/2025,808084582,22095007620,754629314,21321265388,42785072,1332159850,49572477,1564928063,687963134,19445461485,688886673,18268995247,75118411,2357893761,120862735,4075334018
08/15/2025,966229947,27282216956,946262622,26741588268,57165590,1853459539,64499632,2474732114,969891070,27870757288,914449869,25398759019,85563793,2687589446,153638277,5078943828
08/14/2025,919590511,26286898848,891901386,24982210873,36548864,1280082391,45062720,1665673573,808044022,23003682829,774592125,21912579418,61887008,2454887142,114514174,4465087346
08/13/2025,954888324,27147444295,965629233,26919803907,53523327,1708871226,56889119,2019706287,865326214,24515428380,843641892,23247950475,84727219,2689135612,92304840,3873418844
8/12/2025,815440726,22345870761,811020738,21937118386,38176292,1225983525,41686806,1223732875,728617788,19797011013,715773382,19514121605,65815533,2090755814,79569413,2784648247
8/11/2025,795409898,21858232484,774848217,21236944947,37387391,1236848021,45219954,1299516274,720978496,19882160249,725477097,19881838457,75743850,2317165975,83974367,2876107051
8/08/2025,908231764,23559421118,905473759,23240601680,40296154,1433776359,55085067,1680552785,824259307,21422444851,806038926,20899258993,92318443,2817123034,98507916,3412351904
8/07/2025,809156681,20483501804,803596184,20343758470,57135992,1719160546,42180216,1579139861,746555612,19350284837,776641847,19411365949,90613052,2796561507,81043090,3015244414
8/06/2025,618424946,16909169100,633771816,17191821899,36532428,1190488435,46048312,1583329997,610769830,16864674242,623442768,17109959132,106298976,4075827221,68763284,3155047970
8/05/2025,1371580109,37868219655,1319326696,35142916027,99870082,2937402411,90534889,2758501016,1218298042,33316878213,1254185777,33702922410,119378199,4130627137,145079070,6648787963
8/04/2025,641453882,18865762954,634903186,15829874386,28735132,828368592,25297144,841252757,642003249,21082515699,562435038,14000943629,64424581,1876001878,153981476,11980578351
8/01/2025,695369628,18704313651,652316825,16631380406,34972871,881438442.3,37582479,1028841933,635096337,17054219105,631378798,16822317617,87102679,2584108684,131263413,4741539926
07/31/2025,824103181,20714500088,798573631,20161086067,29197121,866946951.7,38349582,1076071458,770259854,19376472776,735875968,17999775267,74138038,2476131920,124899013,4197118944
07/30/2025,758001643,18647980603,780575781,19274651090,41258901,1077381642,30850738,857130484.2,749926443,18489394666,785134308,19360787834,143464506,4435988149,96090666,3158175652
07/29/2025,1356545238,34444202760,1336655110,34696944201,62097600,1718554543,55725044,1537095152,1244171338,31731496517,1250870024,30514406509,130735702,3917647709,150299700,5063455667
07/28/2025,956179346,23917990228,901362499,22370744622,34996196,827397464.7,35123389,987435002.5,772205417,19250196925,811943768,19748923046,91942250,2758368248,106893553,3646850196
07/25/2025,718098396,18257012030,736311789,18710043752,33693438,912606812.3,38906906,1075595203,618681176,15584847545,605001039,15068461056,85630503,2686301232,75883779,2586667608
07/24/2025,671105079,16308299362,698968929,16610074628,30173390,766019403.8,28450510,813558475,644678891,15585353516,631616529,15075236836,134617389,4255366683,121538781,4416169026
07/23/2025,704925947,17660278801,711330103,17997147676,27521784,783463499.4,38856040,1026732626,685013797,16967659331,675734654,16876585025,85445175,2801615152,76985906,2312551456
07/22/2025,629593345,16676430489,598062671,14823887940,30484984,808580936.1,33262604,896007301.8,539064447,13383008773,557602911,13484229364,95742630,2963521356,105957220,4627416948
07/21/2025,709182694,16789575403,720324159,16998418824,35422260,970817176,29898302,671995374.5,622369546,14449330582,625875381,14415922087,109420759,3289667198,100297417,3413054074
07/18/2025,618252334,14506060855,623513793,14945546860,29833761,717833771,24877892,779462960.3,765914529,18318784528,773835043,17782509109,81817362,2449099719,73591258,2484259944
07/17/2025,586243382,14171686894,603950270,14588249188,29593714,823599956.2,33132218,1004624579,742703190,17939500054,724909573,17368605774,94232326,2851365320,90780551,2824672683
07/16/2025,528904005,12139650076,528529068,11806469416,28668930,711562829,20039658,731787548.2,654418232,14589743165,693350316,15159371243,145333816,5491276519,115405941,5234604382
07/15/2025,574004138,13976440042,587582559,14420790870,29890890,865110396.5,15757984,466522822.1,709301015,16956120943,740388041,17618095064,106944732,2976996101,76412191,2269258726
07/14/2025,537463135,12501854388,556881411,12784228664,30671511,871539253.5,25781269,691127537.1,696450411,15829164911,689470495,15674957822,88118395,2347091745,80570277,2399336274
7/11/2025,507730715,12323985338,539117414,13257008140,25448400,799047952,24364330,646509126.1,644760710,15703728030,644926683,15986791921,100612719,3272197756,70144117,2208649889
7/10/2025,430566243,10125956974,470624125,11150599686,31151535,967597118.2,15131507,491369544.4,541653376,13151140224,545951923,13202483047,127546315,3421566457,99209914,2821808496
7/09/2025,593292303,13526394956,612944631,14293231580,35174949,942046936.1,25790646,762712453.6,721987723,16630936561,786852699,17802403988,152888194,4493533129,77755193,2734563560
7/08/2025,474607758,10566806458,515214922,11816491259,34892555,874387045.3,26694221,800749092,580622401,12935574705,604831684,13198077949,132960708,4011909299,76342595,2573359207
7/07/2025,514756541,10741413271,549291098,11577822926,34721070,741121808,20590849,625952153.7,633857772,13599662754,667087826,13990534218,117322728,3243775980,63688338,2131664515
7/04/2025,320059192,7475355642,351555502,8413741402,28497350,635130954.9,11765068,405634630.2,433537639,9983770103,474750043,10824225412,101779341,2995756819,45802909,1446412075
7/03/2025,520985751,11825340135,584085567,13490188763,29799055,864343635.5,25297931,670089289,749481517,17062544873,757660169,17673507657,109261873,3332819357,42484529,1251262291
