symbol,so_cp_luu_hanh,close
SGT,148003208.0,17.15
CHP,146912668.0,32.0
SBS,146607600.0,6.6
DDV,146109900.0,31.2
MIE,141991500.0,6.8
HAN,141048000.0,9.4
DNP,140966036.0,19.0
VOS,140000000.0,13.5
VFS,139967442.0,18.5
VC3,136414258.0,27.9
PHR,135499198.0,55.3
SAS,133451910.0,37.0
BMI,132642818.0,22.25
DHG,130746071.0,101.9
TRV,130368970.0,15.2
SHN,129607147.0,5.2
TDC,127228000.0,12.5
FIC,127000000.0,13.4
SEA,124990500.0,53.8
SBH,124225000.0,44.1
DRH,123707866.0,2.38
BTS,123559858.0,5.4
BCC,123209812.0,8.6
TNG,122601206.0,19.2
NTL,121979900.0,18.45
VOC,121800000.0,11.8
VTP,121783042.0,96.3
TEG,120806562.0,6.61
PTI,120592129.0,25.8
MBG,120218540.0,3.7
DNW,120000000.0,34.8
NCG,119784325.0,11.1
DSP,118684000.0,12.0
AAH,117900000.0,4.1
PBC,116698448.0,6.2
MZG,116506574.0,16.5
TCI,115620964.0,12.05
KSB,114443703.0,19.6
CTR,114385879.0,83.5
NHH,112964000.0,11.9
LAS,112856400.0,18.0
TDH,112652767.0,4.97
MSH,112521020.0,34.7
JVC,112500171.0,8.96
BRR,112500000.0,18.0
TLH,112320017.0,5.69
TVB,112097019.0,9.83
TCM,112038755.0,29.2
TDM,111100000.0,58.0
HAP,110942302.0,6.83
PGI,110896796.0,20.2
TVC,110610670.0,11.9
CSV,110499910.0,30.85
MTA,110113591.0,14.5
MCM,110000000.0,28.4
HAX,107439681.0,12.3
SQC,107299000.0,3.3
PET,106722131.0,31.35
VPD,106589629.0,25.55
DL1,106236094.0,6.3
MVB,105000000.0,19.0
ACC,104999993.0,13.3
BMJ,104999978.0,11.0
IVS,104923336.0,10.1
ELC,104847436.0,22.65
PRE,104400000.0,20.3
S99,104088992.0,9.5
G36,103745067.0,9.8
PVP,103702452.0,15.0
CSM,103625262.0,14.6
CMX,101898990.0,6.95
GIL,101596218.0,16.9
CTD,101430014.0,85.9
ABI,101347632.0,20.7
SHP,101206352.0,35.0
ABW,101150000.0,11.4
DPG,100799032.0,45.9
LTG,100741465.0,6.9
NBB,100159795.0,21.2
BWS,100007569.0,33.8
SID,100000000.0,19.4
PTL,100000000.0,3.5
AIC,100000000.0,10.5
MVC,100000000.0,16.0
BHI,100000000.0,10.6
CDN,99000000.0,31.5
PGD,98997311.0,24.6
STG,98253357.0,35.0
CMM,97899998.0,15.7
VNG,97276608.0,7.41
STK,96636924.0,25.0
DHC,96591206.0,34.75
VC7,96090556.0,11.5
ITC,95935049.0,14.2
HAR,95684090.0,4.72
CTF,95653859.0,20.5
VPH,95357800.0,5.47
DC4,95285704.0,11.8
SCS,94886982.0,60.4
DBD,94489262.0,54.3
LIG,94220661.0,5.0
SVC,93267789.0,21.0
NRC,92597762.0,6.5
HTP,91804980.0,2.1
TIN,91178331.0,52.8
ASG,90784669.0,16.1
NVT,90500000.0,8.05
LIC,90000000.0,28.4
LSG,90000000.0,31.4
BVL,89411287.0,19.4
HTN,89116411.0,10.05
VPG,88415751.0,8.28
TDP,88222250.0,34.4
RTB,87945000.0,29.0
TLG,87753575.0,53.7
SBB,87524536.0,16.2
HWS,87383000.0,14.5
IFS,87140984.0,21.0
DPR,86885932.0,37.05
CLX,86600000.0,16.1
HHP,86554343.0,10.1
LSS,85741623.0,10.35
SCG,85000000.0,66.7
DAH,84200000.0,3.98
API,84083976.0,8.3
VCP,83789658.0,26.2
MST,83604220.0,6.2
APS,83000000.0,9.7
DHT,82340260.0,84.0
VGR,82224959.0,56.0
VNE,82055233.0,7.65
BMP,81860938.0,141.9
SBR,81396192.0,8.5
PVC,81194463.0,11.4
VSN,80904500.0,15.9
PLC,80797566.0,28.7
ABS,80000000.0,3.45
DFF,80000000.0,1.2
VTO,79866666.0,11.8
DDG,79839886.0,2.5
LLM,79726104.0,16.1
DGT,79000000.0,5.2
BMS,78932652.0,14.1
CTX,78907276.0,18.1
LDW,78800000.0,21.0
TAR,78319777.0,4.7
TLD,77741356.0,8.12
HID,76756321.0,3.63
ADS,76394727.0,8.83
VTZ,76159833.0,18.1
SGI,75464700.0,13.0
AVC,75052052.0,54.1
CQN,75049936.0,31.4
VCW,75000000.0,39.8
TSJ,74797400.0,40.2
PPH,74670891.0,28.0
HPW,74206940.0,18.8
HII,73663016.0,4.68
SMC,73606837.0,13.0
DRI,73200000.0,11.4
DCL,73041030.0,30.2
BVS,72200145.0,38.0
HOM,71997731.0,4.8
NDN,71657936.0,13.1
BKG,71609020.0,3.15
XMC,71403929.0,9.3
AAT,70819103.0,3.8
FIR,70669620.0,7.8
RIC,70368754.0,7.9
TMP,70000000.0,62.8
PLP,69999847.0,5.91
SGR,69874989.0,20.55
PAC,69707328.0,25.3
QBS,69329928.0,0.7
DAT,69228341.0,9.55
VST,68999337.0,3.4
SJD,68998620.0,14.2
AAV,68987661.0,6.0
VC2,68769410.0,8.1
VIP,68470941.0,13.4
CRC,68399924.0,9.48
VNB,67894960.0,16.8
VNS,67859192.0,9.71
TV2,67526165.0,34.45
GSP,67517050.0,11.3
SWC,67100000.0,31.0
PTB,66938403.0,47.75
BSA,66850975.0,22.5
DTD,66686055.0,21.4
SKG,66497697.0,10.9
PDV,66095966.0,12.8
BHA,66000000.0,25.0
FMC,65388889.0,36.7
CNT,65380283.0,8.5
AME,65200000.0,9.0
TIP,65007857.0,19.2
LIX,64800000.0,34.1
SII,64522104.0,17.8
OPC,64050892.0,22.45
TBC,63500000.0,38.0
CTI,62999997.0,25.75
TD6,61935202.0,7.6
IDP,61804472.0,192.0
C69,61799972.0,12.8
VGS,61524155.0,30.6
DTL,60630984.0,13.55
SBA,60488261.0,29.0
BTP,60485600.0,10.85
KHP,60376746.0,12.85
PGC,60339285.0,13.8
DCS,60309533.0,1.0
TN1,60095480.0,14.5
HPI,60000000.0,27.5
BSG,60000000.0,17.2
AMS,60000000.0,7.8
PXS,59999998.0,3.1
BLI,59999474.0,9.2
QNC,59932000.0,6.0
DXP,59910133.0,11.2
PSI,59841300.0,8.7
CCL,59581418.0,6.82
PVY,59489787.0,2.1
BOT,59246800.0,2.2
DSD,58399756.0,11.6
VIW,58018600.0,11.0
DNN,57964061.0,3.2
SCJ,57839000.0,3.8
BII,57680000.0,0.7
VTR,57316494.0,16.9
BFC,57167993.0,41.55
KMR,56877807.0,3.06
NS2,56800000.0,31.3
DNA,56329567.0,25.5
NAF,55620286.0,36.25
PDN,55565820.0,95.1
MDF,55113595.0,6.0
VVN,55000000.0,2.4
HLD,54999961.0,18.0
SZG,54898000.0,31.1
GPC,54072143.0,2.7
DCF,52998891.0,40.0
TNI,52500000.0,6.55
MCG,52050000.0,2.9
PVR,51906713.0,1.2
PSD,51827894.0,13.2
HKB,51599999.0,0.5
LGL,51497100.0,4.9
CIG,51039947.0,9.2
TNT,51000000.0,8.28
ACM,51000000.0,0.5
NQN,50831593.0,14.0
TTS,50800000.0,5.0
PHC,50681927.0,5.77
WSS,50300000.0,7.7
ACL,50159019.0,13.4
PCT,50035493.0,10.6
LHG,50012010.0,30.25
PSB,50000000.0,4.4
PVL,50000000.0,2.7
BCA,50000000.0,9.8
PFL,50000000.0,2.7
FTM,50000000.0,0.7
VRC,50000000.0,13.8
SBG,49999963.0,12.5
PMW,49999832.0,36.0
VIT,49999664.0,18.8
PGS,49998794.0,44.0
ND2,49993960.0,39.9
KVC,49500000.0,1.8
NHA,48591709.0,21.55
VAV,47999995.0,37.0
SFG,47897333.0,10.15
GHC,47662500.0,30.8
DVM,47057787.0,7.1
TKU,46881398.0,13.6
VLB,46720560.0,46.4
PMG,46336278.0,8.89
FCM,46226626.0,3.84
POS,46000000.0,15.8
L18,45739793.0,27.8
TCR,45425142.0,2.99
EIN,45407161.0,3.1
VIG,45133300.0,7.0
SBM,45044953.0,34.0
RYG,45000000.0,11.1
TPP,45000000.0,11.3
BSL,45000000.0,10.1
BSQ,45000000.0,18.9
ISH,45000000.0,27.0
AST,45000000.0,70.0
TOS,44999681.0,117.1
TVD,44962864.0,10.2
HNM,44400000.0,8.3
VGG,44100000.0,45.5
CDC,43977432.0,31.7
VEC,43800000.0,13.5
HVH,43489334.0,13.2
MHC,43476198.0,13.5
SJ1,43471706.0,12.0
SRA,43199974.0,3.0
CBI,43006366.0,14.9
CST,42846773.0,13.9
SDT,42732311.0,5.0
UNI,42617632.0,10.9
SJE,42295244.0,18.3
S4A,42200000.0,34.5
EVE,41979773.0,11.25
TTL,41853700.0,8.6
VFG,41712614.0,58.0
HVX,41525250.0,2.8
TRA,41450540.0,67.0
IDV,41236777.0,26.7
CSC,41149264.0,20.4
VID,40836069.0,5.14
NED,40500000.0,7.0
TSA,40424994.0,14.4
QNP,40409950.0,31.2
CCC,40250000.0,15.2
PSN,40000000.0,10.2
LBM,40000000.0,38.8
PSP,40000000.0,20.0
DVP,40000000.0,71.4
PVG,39998522.0,6.5
GCF,39314999.0,34.3
PVM,38638600.0,16.2
FDC,38623488.0,16.1
NAG,38620233.0,12.9
BDT,38595400.0,9.5
HSL,38567363.0,9.84
PWS,38363579.0,15.0
ILB,38199492.0,26.9
VHD,38000000.0,5.1
BCF,37964770.0,38.0
VAF,37665348.0,18.5
NAW,37385983.0,9.2
TTH,37374846.0,2.7
ASP,37339542.0,4.69
NBC,36999124.0,8.9
HCD,36958816.0,8.26
TMT,36877980.0,10.6
PV2,36868800.0,2.8
TTN,36727500.0,17.0
CVT,36690887.0,28.35
EIC,36677145.0,23.8
CPI,36505000.0,4.3
KTC,36473833.0,10.2
C47,36342269.0,11.1
HTG,36002708.0,45.7
ILS,36000000.0,16.0
DHD,35995929.0,40.2
VGV,35774448.0,32.1
UXC,35399968.0,3.0
CNG,35099298.0,27.0
BCE,35000000.0,11.15
AFX,35000000.0,9.9
HHG,34896354.0,1.4
SD6,34771611.0,2.4
DMC,34727465.0,61.3
UDC,34706000.0,3.9
DHM,34535699.0,6.65
SD9,34234000.0,12.2
NDW,34228048.0,14.3
CLL,34000000.0,31.1
VNA,33999960.0,17.8
VUA,33900000.0,20.8
VFC,33801062.0,97.4
SRF,33786780.0,8.3
SGN,33498591.0,64.4
SHA,33446675.0,4.38
