symbol,so_cp_luu_hanh,close
SPV,10800000.0,21.5
AGX,10800000.0,153.2
L40,10800000.0,84.0
PNC,10799351.0,27.5
DVC,10793670.0,14.0
QSP,10792275.0,25.5
MCF,10777838.0,7.5
DS3,10669730.0,6.5
SD7,10600000.0,2.9
SPC,10530000.0,9.1
SB1,10500000.0,5.9
GLC,10500000.0,6.0
AAM,10451182.0,7.05
MTG,10450000.0,8.0
VNI,10357276.0,8.6
MDG,10324781.0,17.6
SD4,10300000.0,2.3
HFC,10198105.0,9.5
SDG,10139997.0,14.0
VTL,10119984.0,7.1
MA1,10050392.0,32.2
DNC,10034681.0,54.9
ODE,10000000.0,45.7
NTW,10000000.0,20.0
DOC,10000000.0,8.7
DTC,10000000.0,5.1
PWA,10000000.0,3.7
TCJ,10000000.0,3.9
SPH,10000000.0,10.0
PCE,10000000.0,20.2
DSH,10000000.0,14.9
S55,10000000.0,57.0
HD8,10000000.0,6.7
WTC,10000000.0,10.8
SIG,10000000.0,6.4
PLA,10000000.0,4.3
HU1,10000000.0,6.2
HLO,9999947.0,17.0
HU3,9999944.0,3.5
EBS,9965584.0,12.2
HDP,9934418.0,28.6
RBC,9903708.0,6.5
DXV,9900000.0,3.99
HSI,9885590.0,0.7
KMT,9846562.0,10.0
GTA,9830000.0,9.73
KIP,9800000.0,14.0
SLS,9791945.0,175.2
L10,9790000.0,21.2
BVG,9750948.0,2.4
HAM,9638061.0,45.0
ALV,9618358.0,7.0
DTG,9605318.0,14.9
VMG,9600000.0,3.5
NDX,9587557.0,6.1
TIE,9569900.0,3.8
YTC,9548000.0,33.8
TV3,9517289.0,18.7
HNB,9500000.0,12.5
DRL,9500000.0,52.1
GDW,9500000.0,39.6
CGV,9499956.0,3.2
DHP,9492200.0,12.0
NNT,9490841.0,63.0
PGN,9464859.0,5.9
LM8,9388682.0,13.8
EPC,9388500.0,7.0
VTK,9383230.0,51.9
BTW,9360000.0,65.0
PPY,9343974.0,8.9
PMC,9332573.0,109.0
GLT,9326742.0,21.0
VGL,9325155.0,20.8
GTD,9300000.0,19.8
HES,9294650.0,18.6
PNT,9282272.0,7.6
SED,9271800.0,24.5
CAT,9249173.0,17.0
PGT,9241801.0,9.0
TOT,9207842.0,15.4
BHP,9179290.0,8.5
HFB,9100000.0,8.6
CYC,9046425.0,1.4
GMX,9034451.0,16.7
VES,9007500.0,8.0
IBD,9000000.0,6.5
PJS,9000000.0,42.6
GND,9000000.0,28.8
PNG,9000000.0,29.5
HMG,9000000.0,9.5
VMS,8999998.0,32.7
MGG,8999622.0,27.4
HD2,8962353.0,16.0
VSE,8937250.0,8.4
PDB,8909981.0,21.0
PVO,8900000.0,6.4
ISG,8800000.0,8.8
CNN,8800000.0,65.0
APT,8800000.0,2.2
PPP,8799991.0,19.7
CT3,8799756.0,5.3
NSG,8639208.0,13.0
TJC,8600000.0,14.8
BIO,8551500.0,12.6
MIC,8547445.0,15.5
SRB,8500000.0,2.1
TDW,8500000.0,48.0
SCD,8477640.0,12.3
SEP,8400000.0,19.6
HPH,8400000.0,12.6
MEC,8353620.0,4.0
NAS,8315482.0,35.8
SAL,8310000.0,1.7
HPD,8306590.0,17.4
UIC,8300000.0,48.85
L62,8298243.0,2.1
L63,8279361.0,7.6
VIR,8240000.0,3.2
LNC,8230067.0,4.0
TDB,8230000.0,41.3
D11,8218456.0,10.4
MQN,8212014.0,18.0
BAX,8200000.0,36.1
DTT,8151820.0,16.45
CMF,8100000.0,320.0
TBR,8060000.0,8.1
BMK,8023932.0,15.7
VNH,8023071.0,1.4
STP,8022063.0,8.5
STT,8000000.0,1.3
VTA,8000000.0,3.3
KCB,8000000.0,11.0
CJC,8000000.0,24.0
HC1,8000000.0,13.0
NAV,7999980.0,18.5
HOT,7999937.0,17.9
QHW,7979400.0,35.0
TOW,7978051.0,33.5
HPP,7960436.0,80.3
VMK,7909952.0,34.6
VTH,7899989.0,8.5
ONE,7893658.0,5.4
VGP,7825922.0,27.6
HAS,7800000.0,8.0
BTB,7691226.0,4.9
LCS,7600000.0,0.6
KDM,7596981.0,14.1
L61,7576200.0,1.9
TRS,7511934.0,37.9
VHH,7500000.0,3.7
HU6,7500000.0,5.1
VBC,7499960.0,19.7
DTH,7467221.0,14.0
MTP,7450806.0,12.5
PJC,7326861.0,26.3
DNT,7280925.0,28.8
CMT,7277780.0,14.5
PHN,7253911.0,70.0
PMS,7201772.0,35.0
PSC,7200000.0,10.4
PLO,7192550.0,4.0
SGC,7147580.0,104.0
TNP,7100000.0,25.2
FT1,7079853.0,49.2
MFS,7062979.0,40.4
TXM,7000000.0,5.1
TLT,6989800.0,19.5
HMD,6964075.0,25.0
DIH,6894164.0,13.9
DCG,6824996.0,23.5
QNU,6800000.0,10.0
A32,6800000.0,36.5
MRF,6792372.0,25.0
TSB,6745480.0,34.9
L12,6738871.0,4.4
CHC,6731596.0,9.0
PTP,6671367.0,10.5
PND,6666666.0,6.7
QHD,6629489.0,25.8
NXT,6600000.0,4.4
SMT,6560739.0,10.7
HCC,6518547.0,25.2
UDL,6516600.0,16.0
TAB,6500000.0,23.6
DCR,6500000.0,4.2
S74,6480000.0,16.3
PTX,6432453.0,20.9
BTD,6412291.0,16.7
HRB,6338400.0,43.0
TVA,6300000.0,13.0
DHN,6290900.0,26.0
CCM,6199896.0,43.0
VMT,6142500.0,14.0
CT6,6105759.0,10.4
ILC,6079071.0,6.6
CET,6050000.0,12.4
VXT,6011932.0,11.0
BEL,6000000.0,11.3
HEC,6000000.0,62.1
HEP,6000000.0,15.9
NUE,6000000.0,10.2
TMX,6000000.0,10.3
MTL,6000000.0,6.0
BHH,6000000.0,23.8
BBS,6000000.0,11.7
NTF,6000000.0,23.0
BCP,6000000.0,10.8
FCC,5997040.0,10.0
KST,5992020.0,12.8
NDC,5964000.0,127.0
TTC,5940528.0,7.7
VE1,5931280.0,3.4
RAT,5921841.0,16.0
BQB,5800000.0,4.3
VDG,5774992.0,10.2
DNE,5773600.0,9.0
ALT,5736709.0,13.7
TET,5702940.0,30.0
BCB,5700000.0,1.2
BT1,5669959.0,11.5
STC,5665530.0,17.0
VPC,5625000.0,1.6
FSO,5624966.0,6.1
HMR,5612444.0,11.6
DUS,5601200.0,6.2
USD,5600000.0,17.9
VIH,5600000.0,16.2
PTS,5568000.0,9.4
CAR,5565004.0,16.6
USC,5500000.0,11.0
LMI,5500000.0,11.0
ACS,5400000.0,5.7
MTV,5400000.0,16.5
TUG,5375079.0,15.1
UCT,5344345.0,7.0
C92,5312920.0,4.7
BMG,5292000.0,17.9
CBS,5291868.0,33.5
DNM,5253070.0,10.3
KKC,5199816.0,6.7
LM3,5150000.0,2.7
LO5,5149791.0,1.1
CMC,5108347.0,8.0
KTS,5070000.0,41.8
VIE,5061244.0,8.3
VPR,5033539.0,16.0
VSM,5032475.0,14.9
LG9,5026600.0,6.6
NLS,5009800.0,4.9
TEL,5000000.0,23.0
BLN,5000000.0,9.1
SKN,5000000.0,8.4
S12,5000000.0,1.6
LM7,5000000.0,2.7
TAW,5000000.0,25.0
HNP,5000000.0,12.0
PEN,5000000.0,10.8
MKV,5000000.0,9.5
BVN,5000000.0,14.1
SJM,5000000.0,5.5
TPS,5000000.0,49.0
CAN,5000000.0,31.4
E29,5000000.0,9.5
NBE,5000000.0,12.0
SDV,5000000.0,37.2
PTD,4999933.0,7.0
THW,4998000.0,14.0
SNC,4995100.0,25.0
MCC,4986124.0,13.7
SSG,4981190.0,8.8
PEQ,4965514.0,40.0
SSM,4947477.0,5.6
PMT,4940000.0,7.0
AG1,4863386.0,11.5
RCD,4849832.0,1.5
L45,4800000.0,1.8
TST,4800000.0,9.9
CMN,4800000.0,53.4
PBP,4799516.0,13.0
SCC,4792500.0,2.2
MTH,4787910.0,27.3
NJC,4750000.0,15.6
APP,4724632.0,5.7
DOP,4719950.0,13.9
CTT,4697351.0,26.4
TMW,4662350.0,27.0
DAD,4659200.0,17.5
TR1,4592490.0,16.5
LTC,4586000.0,1.6
TTT,4570210.0,34.3
CIP,4545000.0,2.7
BRS,4541950.0,29.0
VTC,4529143.0,8.8
DC1,4504337.0,7.3
DLR,4500000.0,18.6
BHC,4500000.0,1.5
SDY,4500000.0,1.1
SMN,4405000.0,11.5
HEJ,4400000.0,14.7
BTN,4396762.0,2.9
DKW,4378120.0,12.0
DNL,4310000.0,30.0
SHC,4309550.0,11.5
VTI,4279763.0,4.5
MAS,4267683.0,34.0
PAI,4235290.0,11.5
PMP,4200000.0,13.2
DAS,4200000.0,10.9
MCO,4103929.0,7.2
CPC,4081450.0,17.5
SCO,4064700.0,3.6
VXB,4049006.0,28.8
SGD,4043000.0,21.5
GCB,4039147.0,14.7
CKV,4012000.0,11.8
TVH,4004000.0,31.3
BLT,4000000.0,26.6
MLS,4000000.0,21.2
DMS,4000000.0,4.6
XMD,4000000.0,7.0
ICI,4000000.0,10.5
HAD,4000000.0,14.3
VLA,3995996.0,9.0
BHK,3986000.0,16.1
ADC,3977936.0,19.8
SAC,3950900.0,13.1
PCM,3920000.0,12.4
PIA,3900000.0,29.0
TS3,3851880.0,6.3
MBT,3800000.0,11.9
BPC,3800000.0,13.5
HPM,3800000.0,7.4
ICC,3800000.0,40.0
EME,3780298.0,29.0
CH5,3732450.0,11.8
MQB,3675675.0,5.6
NAU,3669999.0,9.0
HPB,3657200.0,15.3
VWS,3600000.0,19.3
BTU,3600000.0,14.5
VQC,3599580.0,13.8
C22,3550000.0,18.3
L43,3500000.0,2.5
ATS,3500000.0,21.0
SIV,3464178.0,37.3
TTG,3400000.0,11.1
UPC,3400000.0,25.0
HAV,3297860.0,3.9
THU,3297790.0,12.6
VDN,3286730.0,19.7
CKA,3286404.0,46.3
L35,3265155.0,3.8
KHD,3262818.0,12.9
QST,3240000.0,29.8
QNT,3222000.0,13.5
BSC,3150747.0,13.6
HAT,3123000.0,40.3
SDK,3119988.0,16.6
PEC,3115409.0,10.0
ARM,3111283.0,26.2
PRC,3099849.0,18.3
HLB,3090000.0,350.0
TSG,3074100.0,11.7
ACE,3050781.0,40.5
NHC,3041542.0,19.9
SDN,3036436.0,28.0
BXH,3012040.0,15.4
DPP,3000010.0,28.0
TA6,3000000.0,8.7
PRO,3000000.0,6.0
BED,3000000.0,25.8
XLV,3000000.0,12.7
BSD,3000000.0,10.1
TV6,3000000.0,8.5
DPH,3000000.0,50.8
PCF,3000000.0,5.8
EMG,3000000.0,9.2
TLI,3000000.0,5.0
FRC,3000000.0,25.0
WCS,2999967.0,290.0
VBH,2900000.0,6.6
SFN,2864150.0,24.5
AMC,2850000.0,17.2
NAC,2835000.0,1.3
BMD,2753280.0,10.0
QTC,2700000.0,22.5
THS,2700000.0,12.4
BWA,2700000.0,11.8
CI5,2699922.0,5.1
CX8,2672157.0,9.8
SDC,2609648.0,8.5
DLT,2500056.0,8.6
LKW,2500000.0,34.8
TVM,2400000.0,10.4
CCP,2400000.0,15.8
DVW,2345000.0,28.0
NGC,2299854.0,1.4
DPC,2237280.0,8.9
GER,2200000.0,2.9
IHK,2141928.0,14.0
CDR,2133271.0,7.3
VE2,2098080.0,7.1
BBH,2047932.0,10.6
TVG,2029589.0,16.0
HCT,2016385.0,12.0
CFM,2000000.0,9.1
BAL,2000000.0,9.3
CDH,2000000.0,8.5
PPE,2000000.0,12.8
INC,2000000.0,26.5
ONW,2000000.0,5.8
BBM,2000000.0,7.8
VTS,2000000.0,9.8
VW3,2000000.0,9.5
LBE,1999934.0,29.0
VDT,1965440.0,11.4
DBM,1941584.0,22.4
DAE,1925658.0,14.9
HBD,1904400.0,16.6
LQN,1893200.0,2.2
CCV,1800000.0,56.0
PMJ,1800000.0,21.1
VE8,1800000.0,2.5
ECI,1760000.0,8.0
TW3,1702600.0,15.6
TAN,1613690.0,35.0
TBX,1510280.0,10.2
LMC,1500000.0,8.6
LCD,1499945.0,19.6
QCC,1329700.0,17.5
VE3,1319710.0,8.6
SAP,1286984.0,18.0
TSD,1274000.0,5.5
HFX,1270000.0,5.6
VIM,1250000.0,10.2
PLE,1215000.0,50.0
IN4,1200000.0,54.5
APL,1200000.0,18.0
E12,1200000.0,5.8
PTO,1200000.0,16.4
BTG,1190000.0,9.5
VCT,1100000.0,8.6
H11,1060000.0,8.0
VE4,1028000.0,259.4
DAC,1004974.0,6.3
HEV,1000000.0,11.0
HLY,999905.0,11.0
CID,928500.0,13.2
