time,index,Sản xuất Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Hóa chất,Lâm nghiệp và Giấy,Kim loại,Khai khoáng,Xây dựng và Vật liệu,Hàng công nghiệp,Điện tử & Thiết bị điện,Công nghiệp nặng,Vận tải,Tư vấn & Hỗ trợ Kinh doanh,Ô tô và phụ tùng,Bia và đồ uống,Sản xuất thực phẩm,Hàng gia dụng,Hàng hóa giải trí,Hàng cá nhân,Thuốc lá,Thiết bị và Dịch vụ Y tế,Dược phẩm,Phân phối thực phẩm & dược phẩm,Bán lẻ,Truyền thông,Du lịch & Giải trí,Viễn thông cố định,Viễn thông di động,Sản xuất & Phân phối Điện,Nước & Khí đốt,Ngân hàng,Bảo hiểm phi nhân thọ,Bảo hiểm nhân thọ,Bất động sản,Dịch vụ tài chính,Phần mềm & Dịch vụ Máy tính,Thiết bị và Phần cứng
2025-07-23,31274.412000000004,67.414,276.013,1402.9730000000002,394.92400000000004,476.734,1057.1090000000002,4525.059000000004,433.4419999999999,665.0340000000001,423.62999999999994,2770.0400000000004,739.7890000000001,280.88300000000004,1341.5520000000001,3005.028999999999,223.621,45.196999999999996,1091.946,75.344,182.771,1558.8059999999998,174.1,569.2449999999999,1020.758,736.3169999999999,138.195,131.51,1415.9270000000001,1770.9490000000003,598.1320000000001,251.654,52.4,2201.413,755.1039999999999,274.48800000000006,146.91
2025-07-24,31367.930999999997,69.309,279.018,1410.404,405.82800000000003,468.681,1042.7750000000003,4559.248000000001,434.90099999999995,672.2170000000001,424.455,2785.553,740.835,282.297,1339.809,3021.9949999999994,222.19,45.0,1097.191,75.044,185.39,1556.9430000000002,165.6,566.74,1015.8100000000002,744.7930000000001,140.495,131.21699999999998,1414.3020000000001,1764.96,603.741,253.078,52.2,2220.32,754.9459999999999,272.746,147.9
2025-07-25,31505.684,69.709,278.681,1411.6179999999995,417.0809999999999,467.99700000000007,1030.4970000000003,4568.213999999998,431.4629999999999,677.5160000000001,422.577,2782.5039999999995,752.178,283.504,1341.2720000000002,3050.2159999999994,221.9,44.900000000000006,1101.5140000000001,75.137,185.28000000000003,1562.996000000001,174.6,568.977,1016.973,748.3879999999998,138.995,134.08999999999997,1414.428,1770.958,608.9929999999999,252.16300000000004,52.0,2250.0649999999996,777.9499999999999,272.64,147.71000000000004
2025-07-28,31794.368,69.459,281.122,1404.309,434.85299999999995,475.6090000000001,1036.1570000000002,4626.963000000001,435.5899999999998,684.8250000000002,425.568,2792.9139999999993,756.9910000000002,287.068,1358.6010000000003,3067.9399999999982,221.90699999999998,45.050000000000004,1105.2450000000001,74.807,191.10399999999998,1561.2450000000003,170.6,568.8539999999999,1021.8550000000001,751.5669999999999,141.645,134.482,1416.353,1783.411,626.448,256.406,52.2,2287.009,820.0370000000001,276.675,149.499
2025-07-29,31299.232000000004,68.209,280.001,1373.2789999999995,444.86499999999995,464.7200000000001,996.8709999999999,4564.732999999999,433.7859999999999,666.474,424.671,2767.027999999999,750.0690000000002,284.597,1358.3870000000002,3050.5990000000006,217.88100000000003,45.0,1087.8980000000001,73.90700000000001,184.82799999999997,1553.542000000001,158.4,555.963,1007.9990000000001,733.0149999999998,138.721,127.62700000000001,1406.421,1776.821,594.8100000000001,251.05399999999997,49.6,2217.067,774.25,269.929,146.20999999999998
2025-07-30,31485.472999999998,67.85799999999999,286.82300000000004,1382.7689999999998,447.953,478.0580000000001,1010.9069999999999,4588.607000000001,436.681,668.399,423.125,2785.2259999999997,751.0600000000002,284.311,1352.0710000000001,3054.0069999999987,218.39800000000002,45.0,1098.12,72.90700000000001,184.971,1556.108,165.5,564.7549999999999,1006.1569999999999,734.0179999999999,141.92600000000002,130.517,1403.344,1794.4279999999999,606.6129999999999,252.774,49.55,2229.7459999999996,788.956,274.433,149.397
2025-07-31,31616.896,68.75399999999999,287.866,1394.947,450.7009999999999,476.49400000000014,1005.3030000000001,4603.463000000001,436.85799999999995,674.857,426.97799999999995,2804.1049999999996,747.7360000000001,285.504,1362.095,3053.641,215.155,45.0,1097.334,73.507,184.514,1553.5249999999999,158.6,566.03,1026.463,742.1479999999998,141.29500000000002,128.731,1407.042,1808.1189999999997,610.493,251.379,49.25,2254.9910000000004,796.083,278.2949999999999,149.64
2025-08-01,31668.386,68.703,290.556,1389.1269999999997,466.31399999999996,475.331,1002.539,4627.738000000001,441.12199999999996,668.147,429.8529999999999,2815.691999999998,744.413,289.154,1344.829,3036.526999999999,213.06099999999998,44.6,1098.8060000000003,75.051,184.514,1547.3170000000005,188.20000000000002,564.5039999999998,1026.87,736.7259999999999,141.124,127.93,1411.8480000000004,1798.445,608.141,250.26700000000002,50.0,2286.726,787.717,285.6,150.89399999999998
2025-08-04,31762.053,69.20400000000001,288.613,1378.24,439.794,476.48300000000006,1000.5290000000001,4667.630999999998,443.1039999999999,666.7370000000001,433.85799999999995,2820.6449999999995,742.906,290.69,1346.3970000000002,3053.5520000000006,212.336,44.6,1095.2490000000003,73.472,178.44,1550.7050000000004,174.6,571.6369999999998,1033.7330000000002,746.139,141.495,129.027,1415.027,1812.2169999999999,623.132,250.01000000000002,50.0,2296.8830000000003,801.891,291.97400000000005,151.10299999999998
2025-08-05,31637.195000000003,69.006,285.888,1378.291,424.712,481.1190000000001,997.3379999999999,4639.392999999997,436.665,668.469,431.4509999999999,2814.393,741.1959999999999,293.34000000000003,1333.723,3054.8299999999995,212.53099999999998,43.8,1087.0340000000003,73.67099999999999,178.209,1544.529,191.7,566.7189999999998,1015.161,742.4610000000001,141.206,129.42700000000002,1411.3820000000003,1815.8169999999998,629.044,250.57000000000002,49.8,2272.612,798.582,284.51599999999996,148.60999999999999
2025-08-06,31775.654,71.551,287.24800000000005,1398.686,424.11699999999996,483.23400000000004,997.1169999999998,4669.068999999997,439.652,671.053,432.5229999999999,2813.309,744.2580000000002,293.754,1338.497,3069.4780000000005,213.553,44.9,1101.5600000000004,73.871,178.824,1543.079,174.8,576.8519999999999,1012.4070000000002,745.0640000000001,140.706,135.193,1408.7720000000002,1816.2839999999997,641.2470000000001,254.08700000000002,51.2,2283.724,812.4060000000001,283.485,150.094
